"Date","Time (ET)","Where","Favorite","FavDiv","Underdog","UDDiv","Spread","OULine","FavScore","UDogScore","OT","Differential","Total","OverUnder","SpreadWin","Winner","SpreadWinTeam","WinTeam"
2020-11-15,"1:00","Home","CLE","AFC North","HOU","AFC South",-4.5,46.5,10,7,"No",3,17,"U","Underdog","Favorite","HOU","CLE"
2020-11-15,"1:00","Home","DET","NFC North","WAS","NFC East",-2.5,45.5,30,27,"No",3,57,"O","Favorite","Favorite","DET","DET"
2020-11-15,"1:00","Home","GB","NFC North","JAC","AFC South",-13.5,47.5,24,20,"No",4,44,"U","Underdog","Favorite","JAC","GB"
2020-11-15,"1:00","Away","PHI","NFC East","NYG","NFC East",-5,46.5,17,27,"No",-10,44,"U","Underdog","Underdog","NYG","NYG"
2020-11-15,"4:04","Home","ARI","NFC West","BUF","AFC East",-3,56,32,30,"No",2,62,"O","Underdog","Favorite","BUF","ARI"
2020-11-15,"4:04","Home","LV","AFC West","DEN","AFC West",-3.5,50,37,12,"No",25,49,"U","Favorite","Favorite","LV","LV"
2020-11-15,"4:04","Home","MIA","AFC East","LAC","AFC West",-1.5,49,29,21,"No",8,50,"O","Favorite","Favorite","MIA","MIA"
2020-11-15,"4:25","Home","LA","NFC West","SEA","NFC West",-3,55,23,16,"No",7,39,"U","Favorite","Favorite","LA","LA"
2020-11-15,"4:25","Home","NO","NFC South","SF","NFC West",-9.5,50,27,13,"No",14,40,"U","Favorite","Favorite","NO","NO"
2020-11-15,"4:25","Home","PIT","AFC North","CIN","AFC North",-6.5,46,36,10,"No",26,46,"P","Favorite","Favorite","PIT","PIT"
2020-11-15,"8:20","Away","BAL","AFC North","NE","AFC East",-7,44,17,23,"No",-6,40,"U","Underdog","Underdog","NE","NE"
2020-11-16,"8:15","Away","MIN","NFC North","CHI","NFC North",-3.5,44.5,19,13,"No",6,32,"U","Favorite","Favorite","MIN","MIN"
2020-11-19,"8:20","Home","SEA","NFC West","ARI","NFC West",-3,56.5,28,21,"No",7,49,"U","Favorite","Favorite","SEA","SEA"
2020-11-22,"1:00","Home","BAL","AFC North","TEN","AFC South",-6,50.5,24,30,"Yes",-6,54,"O","Underdog","Underdog","TEN","TEN"
2020-11-22,"1:00","Away","DET","NFC North","CAR","NFC South",-3,47,0,20,"No",-20,20,"U","Underdog","Underdog","CAR","CAR"
2020-11-22,"1:00","Home","CLE","AFC North","PHI","NFC East",-2.5,45.5,22,17,"No",5,39,"U","Favorite","Favorite","CLE","CLE"
2020-11-22,"1:00","Away","NE","AFC East","HOU","AFC South",-2.5,49.5,20,27,"No",-7,47,"U","Underdog","Underdog","HOU","HOU"
2020-11-22,"1:00","Away","PIT","AFC North","JAC","AFC South",-11,47.5,27,3,"No",24,30,"U","Favorite","Favorite","PIT","PIT"
2020-11-22,"1:00","Home","NO","NFC South","ATL","NFC South",-3.5,49.5,24,9,"No",15,33,"U","Favorite","Favorite","NO","NO"
2020-11-22,"1:00","Home","WAS","NFC East","CIN","AFC North",-2,48,20,9,"No",11,29,"U","Favorite","Favorite","WAS","WAS"
2020-11-22,"4:04","Away","MIA","AFC East","DEN","AFC West",-4,46,13,20,"No",-7,33,"U","Underdog","Underdog","DEN","DEN"
2020-11-22,"4:04","Home","LAC","AFC West","NYJ","AFC East",-10,47,34,28,"No",6,62,"O","Underdog","Favorite","NYJ","LAC"
2020-11-22,"4:25","Home","IND","AFC South","GB","NFC North",-1.5,52.5,34,31,"Yes",3,65,"O","Favorite","Favorite","IND","IND"
